Fri Feb 28 2025 12:08:58 GMT-0500 (Eastern Standard Time) - Run Time: 3538ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In D, M, T, U, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         239         197          4
         239         214         16
         239         225         28
         239         233         64
         239         235         11
         239         239         30
         239         242        129
         239         243         27
         239         464          4
         239         503          4
         239         525          4
         239         532          4
         239         555         39
         239         562          4
         239         594         14
         241         236         20
         241         239         58
         241         240          6
         241         242         44
         241         243         23
         241         260          5
         241         458         23
         241         479          8
         241         481          8
         241         491          5
         241         609         55
         242          19         29
         242         224         28
         242         225         11
         242         436         27
         243         204         15
         243         217         14
         243         225         12
         243         236         20
         243         240         23
         243         243         12
         243         523         17
         243         529         11
         244         225         10
         244         247          8
         244         387         23
         244         471          6
         244         527         40
         244         534          8
         244         546          6
         245         248          8
         245         464          5
         245         481          7
         245         501         48
         246         271         10
         247         240          5
         247         481         28
         247         525         21
         247         528         86
         247         560         41
         248          24          7
         248          93         14
         248         222         21
         248         225         16
         248         244         41
         248         246         24
         248         249          9
         248         250          8
         248         253         30
         248         263         15
         248         269         12
         248         420          4
         248         504          8
         248         505         14
         248         527         16
         248         532         21
         248         537         10
         248         538          5
         248         554         12
         249           1         11
         249          14         71
         249         233          9
         249         236         11
         249         239          8
         249         249         17
         249         250         11
         249         254         11
         249         263         54
         249         269         24
         249         279         12
         249         284         16
         249         503          9
         249         529          5
         249         532         32
         250          11         75
         250         222        117
         250         243          4
         250         249          8
         250         253         10
         250         263         13
         250         264         10
         250         269         65
         250         484          4
         250         509         18
         250         541          5
         250         546          5
         250         564          6
         251           8         10
         251          11         53
         251         250         63
         251         251         15
         251         252         15
         251         253         30
         251         256         54
         252          24          9
         252          64         24
         252          66         19
         252         220         12
         252         246         13
         252         250         25
         252         251         78
         252         253         34
         252         254          5
         252         260         16
         252         265         17
         252         270          7
         252         284          4
         252         501         25
         252         503         93
         252         509         91
         252         532          9
         252         538          5
         252         542         20
         252         564         13
         252         594          9
         253           1         39
         253           2          3
         253           6         32
         253          14          5
         253          39         36
         253          59         12
         253         219          3
         253         239         19
         253         250         27
         253         251          3
         253         252         19
         253         253         19
         253         254          8
         253         260         45
         253         262         23
         253         265         69
         253         281         49
         253         284          5
         253         509         21
         253         528         12
         253         540         52
         253         542          7
         253         555          6
         253         579          3
         254           1          3
         254          19          6
         254          22          6
         254          40         10
         254          72         15
         254          85         28
         254         141         27
         254         186         23
         254         251          3
         254         254         37
         254         260         18
         254         266         28
         254         270         10
         254         275          4
         254         532         18
         255           2          4
         255           6         16
         255          39          3
         255          45          8
         255         221          6
         255         235          3
         255         250         12
         255         251          6
         255         252         71
         255         253         23
         255         259          7
         255         270          5
         255         273         42
         255         284          5
         255         497         25
         255         535         25
         255         595          8
         256           2         21
         256           6          5
         256           7         59
         256          11         12
         256          65          9
         256          69         26
         256          70         10
         256         122         20
         256         250         14
         256         265          9
         256         272         21
         257           2          7
         257           4         21
         257           7          3
         257           9          7
         257          10          7
         257          14         20
         257          53          3
         257          66          3
         257          69          9
         257          73          6
         257          94          3
         257         211         15
         257         250         13
         257         253          3
         257         254          9
         257         255         16
         257         264         27
         257         266         52
         257         269         52
         257         270         13
         257         271         18
         257         281          3
         257         542          4
         257         620         10
         258           6         24
         258         200          8
         258         239          9
         258         249         12
         258         250         13
         258         252          7
         258         254         13
         258         258         24
         258         262         17
         258         266         32
         258         282         14
         258         293         33
         258         501         21
         258         542          8
         259           9          6
         259          50          6
         259         171         34
         259         217         11
         259         248         12
         259         250         14
         259         272         33
         259         273          3
         259         275         11
         259         515         16
         259         525         25
         259         534         20
         259         541         22
         259         542         17
         259         547         36
         259         564         45
         259         570          5
         260         110          7
         260         538          7
         260         552         18
         261           2         10
         261           9         13
         261          64         28
         261         504         15
         261         525          5
         262           2          9
         262         246          5
         262         258         18
         262         270          8
         262         271         12
         262         284          8
         262         537         18
         263           2         14
         263          34         22
         263          98         11
         263         103          9
         263         221         54
         263         225         21
         263         248         14
         263         250         87
         263         252          8
         263         254          3
         263         256         19
         263         259          9
         263         263         19
         263         264         19
         263         265          8
         263         270          6
         263         271         10
         263         278         14
         263         282          3
         263         290          4
         263         473         17
         264           7         31
         264          11          4
         264          26          5
         264         112          9
         264         223         15
         264         250          8
         264         254          4
         264         258         12
         264         260          4
         264         265          3
         264         541         29
         264         542         11
         265         223          8
         265         256         17
         265         258          7
         265         264          4
         265         272          8
         266           4          8
         266          29          6
         266          72          3
         266         252         13
         266         259          8
         266         538         20
         267           1         15
         267           9          4
         267          39         13
         267         112          4
         267         216          4
         267         267         15
         267         270          4
         267         335         21
         267         488         16
         268           2         29
         268           6          4
         268          14         59
         268          59         12
         268          66          4
         268         254         33
         268         269         20
         268         270         20
         268         272         23
         269           9         53
         269          66          3
         269          89         24
         269         248          9
         269         260         12
         269         270         15
         269         271          6
         270           2        114
         270           6          4
         270          11         16
         270          44         27
         270          66         29
         270         200         53
         270         210         83
         270         257         13
         270         265          7
         270         270         15
         271          85         11
         271          97          4
         271         120          4
         271         221          4
         271         236         54
         271         250          5
         271         270         13
         271         276         54
         271         540          4
         271         609          9
         272           6         25
         272           7         11
         272           8          3
         272           9         58
         272          24          7
         272          82          3
         272          85          9
         272         249         54
         272         254         56
         272         259          3
         272         473          4
         273           7          3
         273           9          3
         273          72         25
         273         215          6
         273         250         34
         273         270         15
         273         282         18
         273         525         28
         274          18          3
         274          66          9
         274          72         16
         274         108         95
         274         209          3
         274         217          5
         274         252          3
         274         278         10
         274         281          4
         274         356          7
         274         541         94
         276          64          7
         276         243          7
         276         269          8
         277           6          6
         277           8          8
         277           9          5
         277          64         20
         277          66         37
         277          85          5
         277         120          8
         277         218          7
         277         222          4
         277         277          4
         277         391          5
         277         421         13
         278           2         32
         278           9          3
         278          24         12
         278          64         55
         278          74          3
